instnm,ZIP code,Cost of Attendance,Computer Science,Education,Chemical Engineering,Mechanical Engineering,Electrical and Computer Engineering,English Language and Literature,Biology,Mathematics and Statistics,Philosophy,Religion/Religious Studies,Psychology,Dance,Business/Commerce,History
Abilene Christian University,79699,51887,9,53,,,,10,29,6,,,45,,,1
Alabama State University,36104-0271,22110,4,63,,,,7,32,4,,,32,14,,2
Albion College,49224,62155,1,16,,,,16,33,7,1,1,31,,6,4
Alderson Broaddus University,26416-2035,42712,3,7,,,,,11,0,1,,7,,,
Allegheny College,16335-3902,65400,20,,,,,20,33,9,5,1,32,,,12
Alma College,48801-1599,55820,2,20,,,,13,25,9,2,1,19,2,,6
American University,20016-8001,67694,18,19,,,,24,31,10,6,5,54,0,,33
Amherst College,01002-5000,76750,45,,,,,31,25,38,5,2,38,,,27
Anderson University,46012-3495,45270,9,41,,5,,5,9,4,0,2,19,9,,9
Andrews University,49104,41658,5,13,,,,9,18,1,,14,23,,,1
Appalachian State University,28608,19715,70,358,,,,79,180,36,14,9,247,8,,49
Arizona State University Campus Immersion,85287,29103,463,625,164,265,,216,832,210,48,10,713,27,,109
Ashland University,44805,35828,13,80,,,,13,22,9,1,3,14,,33,7
Assumption University,01609-1296,58244,5,0,,,,29,31,15,0,,34,,,12
Auburn University,36849,32196,18,227,136,242,,53,369,53,12,,146,,,33
Auburn University at Montgomery,36117-3596,20650,14,59,,,,13,30,1,,,41,,11,3
Augsburg University,55454,54211,21,45,,,,15,35,15,2,2,51,,,8
Augustana College,61201-2296,56700,14,37,,,,12,83,7,4,5,40,,,8
Augustana University,57197-0001,48076,3,25,,,,11,49,8,1,0,20,,,12
Aurora University,60506-4892,38798,23,40,,,,15,19,10,2,0,57,,,15
Austin College,75090-4400,56557,16,,,,,19,26,7,2,1,29,,24,15
Austin Peay State University,37044,27712,16,67,,,,31,57,12,4,,97,,8,29
Averett University,24541,49636,3,17,,,,2,0,1,,0,6,,,0
Baker College,48867,21620,40,30,,9,,,,,,,30,,,
Baker University,66006-0065,44530,1,8,,,,5,13,1,0,0,11,,30,4
