Institution,ZIP,Cost,
Abilene Christian University,79699,51887,
Abraham Baldwin Agricultural College,31793-7654,15479,
Academy of Art University,94105,46724,
Adams State University,81101,22916,
Adelphi University,11530,61636,
Cumberland University,37087,39230,
Curry College,02186-2395,60150,
Curtis Institute of Music,19103,24092,
D'Youville College,14201-1084,44732,
Daemen College,14226-3592,45170,
Dakota College at Bottineau,58318-1198,16938,
Dakota State University,57042-1799,22574,
Dalton State College,30720-3797,14948,
Delta State University,38733,20879,
Denison University,43023,69400,
Dominican University of California,94901-2298,67943,
Dordt University,51250-1606,46400,
Drake University,50311-4505,58488,
Drew University,07940,58814,
Duke University,33615,77029,
Dunwoody College of Technology,33607-1192,37428,
Duquesne University,15282,56680,
Dutchess Community College,12601-1595,20565,
Earlham College,47374-4095,61265,
East Carolina University,27858-4353,22388,
East Central Community College,39327-0129,12060,
Hillsborough Community College,33614,10000
