Institution,ZIP,Cost,
Abilene Christian University,79699,51887,
Abraham Baldwin Agricultural College,31793-2601,15479,
Academy of Art University,94105,46724,
Adams State University,81101,22916,
Adelphi University,11530-0701,61636,
Adirondack Community College,12804,21278,
Adrian College,49221-2575,54829,
AdventHealth University,32803,25916,
Agnes Scott College,30030-3770,57505,
Alabama A & M University,35762,23954,
Alabama State University,36104-0271,22110,
Alaska Bible College,99645,20278,
Alaska Christian College,99669,21969,
Alaska Pacific University,99508,34600,
Albany College of Pharmacy and Health Sciences,12208-3492,51351,
Albany State University,31705,19634,
Albertus Magnus College,06511-1189,54668,
Albion College,49224,62155,
Albright College,19612-5234,41382,
Alcorn State University,39096-7500,24266,
Alderson Broaddus University,26416-2035,42712,
Alfred University,14802-1205,50888,
Alice Lloyd College,41844,25890,
Allegany College of Maryland,21502-2596,24224,
Allegheny College,16335-3902,65400,
Allegheny Wesleyan College,44460-9598,14412,
Allen County Community College,66749,14524,
Allen University,29204,23932,
Alma College,48801-1599,55820,
Alpena Community College,49707,16350,
Alvernia University,19607-1799,53150,
Alverno College,53234-3922,44194,
American Academy of Dramatic Arts-Los Angeles,90028,51775,
American Academy of Dramatic Arts-New York,10016,60109,
American Baptist College,37207-9980,27044,
American International College,01109,54520,
American Islamic College,60613,13175,
American Musical and Dramatic Academy,10023,59194,
American University,20016-8001,67694,
Amherst College,01002-5000,76750,
Ancilla College,46513-0001,31090,
Anderson University,46012-3495,45270,
Anderson University,29621-4035,44374,
Andrew College,39840-5550,35482,
Andrews University,49104,41658,
Angelina College,75902-1768,14710,
Angelo State University,76909,21247,
Anna Maria College,01612-1198,55210,
Antioch College,45387,50383,
Appalachian Bible College,25880-9557,26936,
Appalachian State University,28608,19715,
Aquinas College,49506-1801,46164,
Arcadia University,19038-3295,60940,
Arizona Christian University,85306-3216,45338,
Arizona State University-Downtown Phoenix,85004,30863,
Arizona State University-Polytechnic,85212,27597,
Arizona State University-Skysong,85257,28590,
Arizona State University-Tempe,85287,29103,
Arizona State University-West,85306,26783,
Arizona Western College,85365-8834,17439,
Arkansas Baptist College,72202-6068,23060,
Arkansas State University-Beebe,72012-1000,15896,
Arkansas State University-Main Campus,72401,24388,
Arkansas Tech University,72801-2222,19606,
Arlington Baptist University,76012-3425,26806,
Art Academy of Cincinnati,45202-1706,47935,
ASA College,11201-9805,33537,
Asbury University,40390-1198,42800,
Ashland University,44805,35828,
Assumption College,01609-1296,58244,
Assumption College for Sisters,07834,12253,
Auburn University,36849,32196,
Auburn University at Montgomery,36117-3596,20650,
Augsburg University,55454,54211,
Augusta University,30912,22845,
Augustana College,61201-2296,56700,
Augustana University,57197-0001,48076,
Aurora University,60506-4892,38798,
Austin College,75090-4400,56557,
Austin Peay State University,37044,27712,
Ave Maria University,34142-9505,38009,
Averett University,24541,49636,
Aviator College of Aeronautical Science and Technology,34946,34488,
Avila University,64145-1698,32442,
Azusa Pacific University,91702-7000,56826,
Babson College,02457-0310,72378,
Bacone College,74403-1597,31050,
Bais Binyomin Academy,10952,19200,
Bais HaMedrash and Mesivta of Baltimore,21209-1613,22350,
Bais Medrash Elyon,10952,15400,
Bais Medrash Mayan Hatorah,08701,16850,
Bais Medrash Toras Chesed,08701,12100,
Baker College,48867,21620,
Baker University,66006-0065,44530,
Baldwin Wallace University,44017-2088,50260,
Ball State University,47306,24962,
Baptist Bible College,65803-3498,25550,
Baptist Memorial College of Health Sciences,38104,22346,
Baptist Missionary Association Theological Seminary,75766-5407,16100,
Baptist University of the Americas,78224-1364,15850,
Barclay College,67059-0288,34250,
Bard College,12504-5000,74712,
Bard College at Simon's Rock,01230-9702,74264,
Barnard College,10027-6598,78044,
Barry University,33161-6695,47398,
Barton College,27893-7000,47754,
Barton County Community College,67530,17918,
Bates College,04240,73538,
Bay de Noc Community College,49829-2511,20360,
Bay Path University,01106,51380,
Bay State College,02116,44800,
Baylor University,76798,64880,
Be'er Yaakov Talmudic Seminary,10977-1912,18350,
Beacon College,34748,59926,
Becker College,01609-2165,58110,
Beis Medrash Heichal Dovid,11691-4433,18000,
Belhaven University,39202,36652,
Bellarmine University,40205-0671,59690,
Bellevue College,98007-6484,21296,
Bellevue University,68005-3098,21210,
Belmont Abbey College,28012-1802,32986,
Belmont University,37212-3757,54595,
Beloit College,53511-5595,63514,
Bemidji State University,56601,21490,
Benedict College,29204-1086,28000,
Benedictine College,66002-1499,46380,
Benedictine University,60532-0900,50006,
Bennett College,27401-3239,34917,
Bennington College,05201-6003,75950,
Bentley University,02452-4705,71320,
Berea College,40404-2182,54866,
Berklee College of Music,02215,66944,
Berry College,30149,53540,
Bet Medrash Gadol Ateret Torah,11223-1933,17650,
Beth Hamedrash Shaarei Yosher Institute,11204,18000,
Beth Medrash Meor Yitzchok,10952-4023,20950,
Beth Medrash of Asbury Park,08701-5842,19300,
Bethany College,26032,45570,
Bethany College,67456-1897,49594,
Bethany Global University,55438-2849,27284,
Bethany Lutheran College,56001,38820,
Bethel College-North Newton,67117-1716,44003,
Bethel University,55112,53200,
Bethel University,38201,32028,
Bethel University,46545-5591,42406,
Bethlehem College & Seminary,55415-1793,13360,
Bethune-Cookman University,32114-3099,30226,
Beulah Heights University,30316,22460,
Bevill State Community College,35501,16742,
Big Bend Community College,98837-3299,16951,
Binghamton University,13850-6000,28269,
Biola University,90639-0001,59176,
Birmingham-Southern College,35254,35090,
Bismarck State College,58506-5587,15395,
Black Hills State University,57799-9500,21851,
Blackburn College,62626,33260,
Blackfeet Community College,59417-0819,20660,
Blinn College,77833-4098,20109,
Bloomfield College,07003,46811,
Bloomsburg University of Pennsylvania,17815,25996,
Blue Mountain College,38610-9509,25825,
Bluefield College,24605,40132,
Bluffton University,45817-2104,48860,
Bob Jones University,29614-0001,29480,
Boise Bible College,83714-1220,24258,
Boise State University,83725,24300,
Boston Architectural College,02115-2703,40974,
Boston Baptist College,02136-4030,26691,
Boston College,02467,75886,
Boston University,02215,75002,
Bowdoin College,04011,73800,
Bowie State University,20715-9465,24020,
Bowling Green State University-Main Campus,43403,25187,
Bradley University,61625-0001,48990,
Brandeis University,02454-9110,76141,
Brenau University,30501-3668,47634,
Brescia University,42301-3023,38440,
Brevard College,28712,43650,
